,RMSE,lags,params,mean_squared_error,mean_absolute_error,learning_rate,max_depth,n_estimators
34,31.829588964817603,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36]","{'learning_rate': 0.35, 'max_depth': 4, 'n_estimators': 200}",1013.1227336692385,27.172694314404197,0.35,4.0,200.0
18,31.86396716013765,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'learning_rate': 0.35, 'max_depth': 4, 'n_estimators': 100}",1015.3124031823307,27.06520453417296,0.35,4.0,100.0
38,31.87831582560069,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36]","{'learning_rate': 0.35, 'max_depth': 5, 'n_estimators': 300}",1016.2270198767434,27.367381388495748,0.35,5.0,300.0
37,31.906244320103564,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36]","{'learning_rate': 0.35, 'max_depth': 5, 'n_estimators': 200}",1018.0084266141411,27.351489297631527,0.35,5.0,200.0
15,31.97199753062273,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'learning_rate': 0.35, 'max_depth': 3, 'n_estimators': 100}",1022.2086260981459,26.838095920526545,0.35,3.0,100.0
49,32.0250592279266,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48]","{'learning_rate': 0.35, 'max_depth': 4, 'n_estimators': 200}",1025.6044185522067,27.497654449007815,0.35,4.0,200.0
50,32.03651186731889,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48]","{'learning_rate': 0.35, 'max_depth': 4, 'n_estimators': 300}",1026.3380926248642,27.514409121699966,0.35,4.0,300.0
22,32.06618026528382,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'learning_rate': 0.35, 'max_depth': 5, 'n_estimators': 200}",1028.2399168056772,27.64993544008416,0.35,5.0,200.0
23,32.08295529035939,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'learning_rate': 0.35, 'max_depth': 5, 'n_estimators': 300}",1029.3160201632,27.61473982009853,0.35,5.0,300.0
8,32.17117856833138,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'learning_rate': 0.35, 'max_depth': 5, 'n_estimators': 300}",1034.984730475464,27.81052886938758,0.35,5.0,300.0
36,32.195291226930124,"[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 36]","{'learning_rate': 0.35, 'max_depth': 5, 'n_estimators': 100}",1036.536777186844,27.691907457781763,0.35,5.0,100.0
6,32.335542677426886,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'learning_rate': 0.35, 'max_depth': 5, 'n_estimators': 100}",1045.5873202436953,28.07191364376242,0.35,5.0,100.0
27,32.45598659326327,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'learning_rate': 0.35, 'max_depth': 10, 'n_estimators': 100}",1053.391065742085,28.290353320811704,0.35,10.0,100.0
9,32.46312589677012,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'learning_rate': 0.35, 'max_depth': 7, 'n_estimators': 100}",1053.8545429895469,28.244766529253905,0.35,7.0,100.0
25,32.475058124212836,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'learning_rate': 0.35, 'max_depth': 7, 'n_estimators': 200}",1054.629400171002,28.29158275568049,0.35,7.0,200.0
7,32.47585928383027,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'learning_rate': 0.35, 'max_depth': 5, 'n_estimators': 200}",1054.6814362231446,28.20850728444799,0.35,5.0,200.0
28,32.52080122743969,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'learning_rate': 0.35, 'max_depth': 10, 'n_estimators': 200}",1057.602512474643,28.351191403905677,0.35,10.0,200.0
26,32.54515370866131,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'learning_rate': 0.35, 'max_depth': 7, 'n_estimators': 300}",1059.1870299203908,28.363124262193075,0.35,7.0,300.0
24,32.556041550401424,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'learning_rate': 0.35, 'max_depth': 7, 'n_estimators': 100}",1059.8958414314639,28.382045323526594,0.35,7.0,100.0
